;part_id;test_id;Serie_id;trial_id;training;modif;position;forme;salience;error_rate;expert
19;12;xp_loc;2;19;1;global;1;descendante;nul;0;0
20;12;xp_loc;2;20;1;nul;3;descendante;incongruente;0;0
21;12;xp_loc;2;21;1;local;1;ascendante;nul;0;0
22;12;xp_loc;2;22;1;local;1;descendante;incongruente;0;0
23;12;xp_loc;2;23;1;localglobal;3;ascendante;nul;0;0
24;12;xp_loc;2;24;1;localglobal;3;descendante;congruente;0;0
25;12;xp_loc;2;25;1;nul;3;ascendante;congruente;0;0
26;12;xp_loc;2;26;1;global;3;ascendante;incongruente;0;0
27;12;xp_loc;2;27;1;localglobal;3;descendante;incongruente;0;0
28;12;xp_loc;2;28;1;localglobal;1;ascendante;nul;0;0
29;12;xp_loc;2;29;1;global;3;descendante;nul;0;0
30;12;xp_loc;2;30;1;nul;1;ascendante;nul;0;0
31;12;xp_loc;2;31;1;localglobal;1;descendante;incongruente;0;0
32;12;xp_loc;2;32;1;localglobal;3;ascendante;congruente;0;0
33;12;xp_loc;2;33;1;global;1;ascendante;incongruente;0;0
34;12;xp_loc;2;34;1;localglobal;1;ascendante;congruente;0;0
35;12;xp_loc;2;35;1;local;1;ascendante;congruente;0;0
36;12;xp_loc;2;36;1;global;1;descendante;congruente;0;0
37;12;xp_loc;2;37;1;local;1;descendante;nul;0;0
38;12;xp_loc;2;38;1;nul;1;ascendante;incongruente;0;0
39;12;xp_loc;2;39;1;local;1;ascendante;congruente;0;0
40;12;xp_loc;2;40;1;global;1;descendante;incongruente;0;0
41;12;xp_loc;2;41;1;local;3;descendante;congruente;0;0
42;12;xp_loc;2;42;1;localglobal;1;ascendante;incongruente;0;0
43;12;xp_loc;2;43;1;localglobal;1;descendante;nul;0;0
44;12;xp_loc;2;44;1;localglobal;3;descendante;nul;0;0
45;12;xp_loc;2;45;1;local;3;descendante;congruente;0;0
46;12;xp_loc;2;46;1;localglobal;3;ascendante;incongruente;0;0
47;12;xp_loc;2;47;1;nul;3;ascendante;incongruente;0;0
48;12;xp_loc;2;48;1;localglobal;3;ascendante;congruente;0;0
49;12;xp_loc;2;49;1;local;3;ascendante;nul;0;0
50;12;xp_loc;2;50;1;localglobal;1;descendante;incongruente;0;0
51;12;xp_loc;2;51;1;nul;3;ascendante;incongruente;0;0
52;12;xp_loc;2;52;1;localglobal;3;descendante;nul;0;0
53;12;xp_loc;2;53;1;localglobal;1;ascendante;incongruente;0;0
54;12;xp_loc;2;54;1;nul;1;descendante;congruente;0;0
55;12;xp_loc;2;55;1;global;3;descendante;congruente;0;0
56;12;xp_loc;2;56;1;local;1;descendante;nul;0;0
57;12;xp_loc;2;57;1;nul;3;descendante;nul;0;0
58;12;xp_loc;2;58;1;nul;3;ascendante;nul;0;0
59;12;xp_loc;2;59;1;local;3;descendante;nul;0;0
60;12;xp_loc;2;60;1;local;1;descendante;congruente;0;0
61;12;xp_loc;2;61;1;global;1;ascendante;nul;0;0
62;12;xp_loc;2;62;1;local;3;descendante;nul;0;0
63;12;xp_loc;2;63;1;global;1;ascendante;congruente;0;0
64;12;xp_loc;2;64;1;nul;3;ascendante;congruente;0;0
65;12;xp_loc;2;65;1;nul;3;descendante;congruente;0;0
66;12;xp_loc;2;66;1;nul;1;descendante;incongruente;0;0
67;12;xp_loc;2;67;1;localglobal;3;descendante;incongruente;0;0
68;12;xp_loc;2;68;1;localglobal;1;descendante;nul;0;0
69;12;xp_loc;2;69;1;global;3;descendante;incongruente;0;0
70;12;xp_loc;2;70;1;nul;1;ascendante;congruente;0;0
71;12;xp_loc;2;71;1;global;3;descendante;incongruente;0;0
72;12;xp_loc;2;72;1;nul;3;descendante;incongruente;0;0
73;12;xp_loc;2;73;1;local;3;ascendante;incongruente;0;0
74;12;xp_loc;2;74;1;nul;3;descendante;congruente;0;0
75;12;xp_loc;2;75;1;nul;1;descendante;nul;0;0
76;12;xp_loc;2;76;1;nul;1;ascendante;nul;0;0
77;12;xp_loc;2;77;1;global;1;descendante;incongruente;0;0
78;12;xp_loc;2;78;1;global;3;descendante;nul;0;0
79;12;xp_loc;2;79;1;nul;3;ascendante;nul;0;0
80;12;xp_loc;2;80;1;local;1;descendante;congruente;0;0
81;12;xp_loc;2;81;1;local;3;ascendante;congruente;0;0
82;12;xp_loc;2;82;1;local;3;ascendante;incongruente;0;0
83;12;xp_loc;2;83;1;local;1;ascendante;incongruente;0;0
84;12;xp_loc;2;84;1;local;3;descendante;incongruente;0;0
85;12;xp_loc;2;85;1;global;1;ascendante;incongruente;0;0
86;12;xp_loc;2;86;1;nul;1;ascendante;congruente;0;0
87;12;xp_loc;2;87;1;global;3;ascendante;nul;0;0
88;12;xp_loc;2;88;1;localglobal;3;ascendante;nul;0;0
89;12;xp_loc;2;89;1;localglobal;3;ascendante;incongruente;0;0
90;12;xp_loc;2;90;1;local;3;ascendante;congruente;0;0
91;12;xp_loc;2;91;1;nul;1;descendante;nul;0;0
92;12;xp_loc;2;92;1;global;3;ascendante;incongruente;0;0
93;12;xp_loc;2;93;1;nul;1;ascendante;incongruente;0;0
94;12;xp_loc;2;94;1;localglobal;1;descendante;congruente;0;0
95;12;xp_loc;2;95;1;localglobal;1;ascendante;congruente;0;0
96;12;xp_loc;2;96;1;local;1;ascendante;incongruente;0;0
97;12;xp_loc;2;97;1;local;3;ascendante;nul;0;0
2;10;xp_loc;1;2;1;localglobal;3;descendante;congruente;100;0
3;10;xp_loc;1;3;1;nul;1;descendante;incongruente;0;0
4;10;xp_loc;1;4;1;local;3;descendante;nul;0;0
5;10;xp_loc;1;5;1;global;3;descendante;nul;100;0
6;10;xp_loc;1;6;1;local;3;ascendante;nul;0;0
7;10;xp_loc;1;7;1;localglobal;1;ascendante;congruente;0;0
8;10;xp_loc;1;8;1;localglobal;1;descendante;nul;100;0
9;10;xp_loc;1;9;1;localglobal;3;descendante;incongruente;0;0
10;10;xp_loc;1;10;1;nul;3;descendante;incongruente;0;0
11;10;xp_loc;1;11;1;localglobal;1;descendante;incongruente;0;0
12;10;xp_loc;1;12;1;global;3;descendante;nul;100;0
13;10;xp_loc;1;13;1;local;1;descendante;incongruente;100;0
14;10;xp_loc;1;14;1;local;3;descendante;congruente;0;0
15;10;xp_loc;1;15;1;global;3;ascendante;nul;100;0
16;10;xp_loc;1;16;1;localglobal;3;ascendante;nul;0;0
17;10;xp_loc;1;17;1;local;1;ascendante;nul;100;0
18;10;xp_loc;1;18;1;local;1;descendante;congruente;100;0
19;10;xp_loc;1;19;1;localglobal;3;ascendante;congruente;0;0
20;10;xp_loc;1;20;1;global;3;ascendante;congruente;100;0
21;10;xp_loc;1;21;1;nul;3;ascendante;congruente;0;0
22;10;xp_loc;1;22;1;localglobal;3;ascendante;nul;0;0
23;10;xp_loc;1;23;1;global;1;ascendante;incongruente;100;0
24;10;xp_loc;1;24;1;local;3;descendante;congruente;0;0
25;10;xp_loc;1;25;1;nul;1;ascendante;incongruente;0;0
26;10;xp_loc;1;26;1;nul;1;ascendante;nul;0;0
27;10;xp_loc;1;27;1;localglobal;1;ascendante;incongruente;0;0
28;10;xp_loc;1;28;1;local;3;ascendante;incongruente;0;0
29;10;xp_loc;1;29;1;global;3;descendante;incongruente;0;0
30;10;xp_loc;1;30;1;nul;1;descendante;congruente;0;0
31;10;xp_loc;1;31;1;global;1;ascendante;incongruente;100;0
